property,value,unit,cmp_ids,cmp_mole_fractions
Enthalpy of mixing,-2.8930336473237905,kJ/mol,"[45.0, 28.0, 74.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-5.609856046831114,kJ/mol,"[75.0, 54.0]","[0.5, 0.5]"
Enthalpy of mixing,1.0328493236188865,kJ/mol,"[29.0, 8.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-3.7119434480273465,kJ/mol,"[45.0, 18.0, 54.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.1834969668424826,kJ/mol,"[20.0, 6.0]","[0.8, 0.2]"
Enthalpy of mixing,1.2428650910484895,kJ/mol,"[12.0, 11.0, 35.0, 48.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4580301144507141,kJ/mol,"[6.0, 24.0, 8.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.1807867714883865,kJ/mol,"[48.0, 14.0, 72.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.2467351993521536,kJ/mol,"[4.0, 6.0, 38.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.8998953249757753,kJ/mol,"[48.0, 6.0, 38.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.1574950358267866,kJ/mol,"[48.0, 72.0, 24.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.4658640159240584,kJ/mol,"[65.0, 21.0]","[0.8, 0.2]"
Enthalpy of mixing,0.1609025151179076,kJ/mol,"[48.0, 57.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.7134460263109146,kJ/mol,"[6.0, 62.0]","[0.4, 0.6]"
Enthalpy of mixing,0.1672232116075607,kJ/mol,"[28.0, 38.0, 5.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.097250544765885,kJ/mol,"[15.0, 4.0, 48.0, 38.0, 54.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0394109916524393,kJ/mol,"[20.0, 74.0, 31.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-2.238875673641104,kJ/mol,"[45.0, 74.0, 1.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.5620611270662623,kJ/mol,"[11.0, 35.0, 53.0, 8.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.658517535978436,kJ/mol,"[2.0, 14.0, 53.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.5337399582266502,kJ/mol,"[76.0, 41.0, 38.0, 50.0, 73.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.2730920814668831,kJ/mol,"[45.0, 28.0, 74.0, 77.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.596372705208259,kJ/mol,"[11.0, 14.0, 34.0, 72.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.1674016433326055,kJ/mol,"[11.0, 35.0, 64.0, 38.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.950191817972132,kJ/mol,"[47.0, 38.0, 54.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.7978882366753839,kJ/mol,"[19.0, 53.0, 8.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.3364840531724406,kJ/mol,"[48.0, 6.0, 63.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.1617486918838769,kJ/mol,"[76.0, 12.0, 11.0, 41.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.5254383549470414,kJ/mol,"[13.0, 14.0, 64.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.7830063340818385,kJ/mol,"[67.0, 53.0, 23.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.3569187102047522,kJ/mol,"[6.0, 34.0, 72.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3250297229287286,kJ/mol,"[12.0, 53.0, 56.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3888506697046875,kJ/mol,"[64.0, 72.0, 53.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.9251572237987178,kJ/mol,"[29.0, 8.0, 23.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.0483869742360437,kJ/mol,"[6.0, 72.0, 38.0, 67.0, 54.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.1145222261526426,kJ/mol,"[11.0, 29.0, 48.0, 72.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.5142921289658229,kJ/mol,"[4.0, 72.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.8083836555924239,kJ/mol,"[75.0, 12.0, 29.0, 38.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0785982500142539,kJ/mol,"[51.0, 4.0, 48.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.8896375483291442,kJ/mol,"[15.0, 28.0]","[0.2, 0.8]"
Enthalpy of mixing,-0.6213943874507551,kJ/mol,"[39.0, 38.0, 21.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0413441533943232,kJ/mol,"[14.0, 72.0, 23.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.1126691924938891,kJ/mol,"[48.0, 6.0, 55.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.3156203183574507,kJ/mol,"[76.0, 2.0, 48.0, 38.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5082178700912553,kJ/mol,"[12.0, 48.0, 14.0, 53.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.5088484402782532,kJ/mol,"[35.0, 50.0, 27.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.116431959448985,kJ/mol,"[12.0, 19.0, 64.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5114938102623289,kJ/mol,"[12.0, 11.0, 64.0, 34.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.6992043261937493,kJ/mol,"[52.0, 28.0, 48.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,1.3487829195605312,kJ/mol,"[75.0, 76.0, 12.0, 48.0, 50.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.2407673115269014,kJ/mol,"[16.0, 28.0, 48.0, 72.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.02379998735822,kJ/mol,"[58.0, 72.0, 38.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.110422873442456,kJ/mol,"[76.0, 28.0, 48.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.9608549928812524,kJ/mol,"[11.0, 48.0, 72.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.1500094470048066,kJ/mol,"[45.0, 28.0, 6.0, 74.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.7069713632975282,kJ/mol,"[12.0, 48.0, 63.0, 53.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.2283706848051855,kJ/mol,"[14.0, 19.0, 8.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.9110797558106087,kJ/mol,"[12.0, 63.0, 53.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0831219267853708,kJ/mol,"[48.0, 6.0, 74.0, 61.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.0116795657242843,kJ/mol,"[11.0, 35.0, 48.0, 64.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.1158898361143978,kJ/mol,"[6.0, 39.0, 38.0, 21.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.3940501199858923,kJ/mol,"[12.0, 34.0, 72.0, 38.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.9952513700984544,kJ/mol,"[35.0, 48.0, 38.0, 8.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.1899424376691293,kJ/mol,"[68.0, 48.0, 6.0, 38.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.2452995098179343,kJ/mol,"[38.0, 24.0, 53.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.5113447365016603,kJ/mol,"[12.0, 6.0, 56.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.0974369559068309,kJ/mol,"[2.0, 14.0, 72.0, 38.0, 27.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.2008143810957614,kJ/mol,"[12.0, 6.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-0.7024170265150954,kJ/mol,"[45.0, 6.0, 74.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.4923031549138526,kJ/mol,"[70.0, 72.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.2551427430306762,kJ/mol,"[12.0, 35.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.4990793190142091,kJ/mol,"[10.0, 6.0, 38.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.7596559151188469,kJ/mol,"[11.0, 29.0, 14.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.2071322977213461,kJ/mol,"[2.0, 6.0, 38.0, 53.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.1333173366872762,kJ/mol,"[48.0, 50.0, 60.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.8235291339825999,kJ/mol,"[48.0, 44.0, 38.0, 8.0, 27.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.1995632514704428,kJ/mol,"[72.0, 54.0, 21.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.8352645583554185,kJ/mol,"[11.0, 48.0, 64.0, 34.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3836812581241619,kJ/mol,"[12.0, 14.0, 6.0, 64.0, 72.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.09946557162453,kJ/mol,"[11.0, 48.0, 64.0, 67.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.9017215037700114,kJ/mol,"[48.0, 72.0, 38.0, 24.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.439555037875332,kJ/mol,"[28.0, 5.0]","[0.2, 0.8]"
Enthalpy of mixing,-1.1197296669937071,kJ/mol,"[74.0, 38.0, 67.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.0694570030664147,kJ/mol,"[6.0, 34.0, 72.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4760489803903036,kJ/mol,"[13.0, 8.0, 60.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.05131934988605,kJ/mol,"[29.0, 48.0, 72.0, 38.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.1664533749572779,kJ/mol,"[75.0, 48.0, 70.0, 53.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.9595965734694932,kJ/mol,"[2.0, 8.0, 60.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
