property,value,unit,cmp_ids,cmp_mole_fractions
Enthalpy of mixing,-2.8930336473237905,kJ/mol,"[45.0, 28.0, 74.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-5.609856046831114,kJ/mol,"[75.0, 54.0]","[0.5, 0.5]"
Enthalpy of mixing,1.0328493236188865,kJ/mol,"[29.0, 8.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-3.7119434480273465,kJ/mol,"[45.0, 18.0, 54.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.1834969668424826,kJ/mol,"[20.0, 6.0]","[0.8, 0.2]"
Enthalpy of mixing,0.4580301144507141,kJ/mol,"[6.0, 24.0, 8.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.2467351993521536,kJ/mol,"[4.0, 6.0, 38.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.8998953249757753,kJ/mol,"[48.0, 6.0, 38.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.4658640159240584,kJ/mol,"[65.0, 21.0]","[0.8, 0.2]"
Enthalpy of mixing,0.1609025151179076,kJ/mol,"[48.0, 57.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.7134460263109146,kJ/mol,"[6.0, 62.0]","[0.4, 0.6]"
Enthalpy of mixing,0.1672232116075607,kJ/mol,"[28.0, 38.0, 5.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0394109916524393,kJ/mol,"[20.0, 74.0, 31.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-2.238875673641104,kJ/mol,"[45.0, 74.0, 1.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.658517535978436,kJ/mol,"[2.0, 14.0, 53.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-1.950191817972132,kJ/mol,"[47.0, 38.0, 54.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.3364840531724406,kJ/mol,"[48.0, 6.0, 63.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.1617486918838769,kJ/mol,"[76.0, 12.0, 11.0, 41.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.7830063340818385,kJ/mol,"[67.0, 53.0, 23.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.3569187102047522,kJ/mol,"[6.0, 34.0, 72.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3250297229287286,kJ/mol,"[12.0, 53.0, 56.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3888506697046875,kJ/mol,"[64.0, 72.0, 53.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.9251572237987178,kJ/mol,"[29.0, 8.0, 23.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.5142921289658229,kJ/mol,"[4.0, 72.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.0785982500142539,kJ/mol,"[51.0, 4.0, 48.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.8896375483291442,kJ/mol,"[15.0, 28.0]","[0.2, 0.8]"
Enthalpy of mixing,-0.6213943874507551,kJ/mol,"[39.0, 38.0, 21.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0413441533943232,kJ/mol,"[14.0, 72.0, 23.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.1126691924938891,kJ/mol,"[48.0, 6.0, 55.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.5088484402782532,kJ/mol,"[35.0, 50.0, 27.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.6992043261937493,kJ/mol,"[52.0, 28.0, 48.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-0.02379998735822,kJ/mol,"[58.0, 72.0, 38.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.110422873442456,kJ/mol,"[76.0, 28.0, 48.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.2283706848051855,kJ/mol,"[14.0, 19.0, 8.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.9110797558106087,kJ/mol,"[12.0, 63.0, 53.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.5113447365016603,kJ/mol,"[12.0, 6.0, 56.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.2008143810957614,kJ/mol,"[12.0, 6.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-0.7024170265150954,kJ/mol,"[45.0, 6.0, 74.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.4923031549138526,kJ/mol,"[70.0, 72.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.2551427430306762,kJ/mol,"[12.0, 35.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.4990793190142091,kJ/mol,"[10.0, 6.0, 38.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-0.1333173366872762,kJ/mol,"[48.0, 50.0, 60.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-1.1995632514704428,kJ/mol,"[72.0, 54.0, 21.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.439555037875332,kJ/mol,"[28.0, 5.0]","[0.2, 0.8]"
Enthalpy of mixing,-1.1197296669937071,kJ/mol,"[74.0, 38.0, 67.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.0694570030664147,kJ/mol,"[6.0, 34.0, 72.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4760489803903036,kJ/mol,"[13.0, 8.0, 60.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.9595965734694932,kJ/mol,"[2.0, 8.0, 60.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.0631879805731714,kJ/mol,"[76.0, 44.0, 50.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.9233916391590784,kJ/mol,"[13.0, 53.0, 23.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.3418425198470598,kJ/mol,"[29.0, 6.0, 64.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.1518803833212284,kJ/mol,"[74.0, 77.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.3048919848687188,kJ/mol,"[12.0, 29.0, 6.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.9545228600023083,kJ/mol,"[6.0, 18.0, 54.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.7957664241662725,kJ/mol,"[12.0, 79.0, 38.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-4.110714219963605,kJ/mol,"[65.0, 31.0]","[0.4, 0.6]"
Enthalpy of mixing,0.5160980183260849,kJ/mol,"[76.0, 66.0]","[0.6, 0.4]"
Enthalpy of mixing,-0.5635780240415952,kJ/mol,"[76.0, 19.0, 53.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.4555507642182948,kJ/mol,"[18.0, 74.0]","[0.2, 0.8]"
Enthalpy of mixing,0.5956191602577093,kJ/mol,"[55.0, 38.0]","[0.4, 0.6]"
Enthalpy of mixing,0.2228960022144158,kJ/mol,"[79.0, 48.0, 72.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.2038257483917012,kJ/mol,"[76.0, 50.0, 53.0, 56.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-1.558168417595255,kJ/mol,"[4.0, 6.0, 54.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-1.297656104109289,kJ/mol,"[43.0, 21.0]","[0.6, 0.4]"
Enthalpy of mixing,-1.3744169140409193,kJ/mol,"[45.0, 74.0, 21.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-1.302513164063731,kJ/mol,"[42.0, 54.0, 31.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.0613899520232242,kJ/mol,"[6.0, 38.0, 24.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3514925159686678,kJ/mol,"[51.0, 28.0, 6.0, 74.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.6391568978946092,kJ/mol,"[28.0, 26.0, 21.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.0581773352317028,kJ/mol,"[12.0, 35.0, 50.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.0878604614770037,kJ/mol,"[13.0, 64.0, 72.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,1.9056503832187992,kJ/mol,"[12.0, 19.0, 73.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.9925132927295672,kJ/mol,"[75.0, 76.0, 12.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.1869635020765513,kJ/mol,"[75.0, 38.0, 73.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.2782315595091915,kJ/mol,"[6.0, 5.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.4510098737071032,kJ/mol,"[28.0, 61.0]","[0.8, 0.2]"
Enthalpy of mixing,-0.1729593909155316,kJ/mol,"[4.0, 74.0, 61.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-2.1626636993619104,kJ/mol,"[6.0, 42.0, 21.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.3710231061850631,kJ/mol,"[76.0, 50.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.2863405813869937,kJ/mol,"[11.0, 41.0, 53.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.0262855356033593,kJ/mol,"[48.0, 6.0, 17.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-1.4578558150028809,kJ/mol,"[4.0, 72.0, 74.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.9820780629380383,kJ/mol,"[15.0, 48.0, 74.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.2478868651695857,kJ/mol,"[11.0, 34.0]","[0.6, 0.4]"
Enthalpy of mixing,-0.6980035335240934,kJ/mol,"[48.0, 55.0, 21.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.116033545184696,kJ/mol,"[63.0, 53.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.730387326766594,kJ/mol,"[63.0, 60.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-5.084290471211468,kJ/mol,"[75.0, 39.0, 73.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.3734872008458296,kJ/mol,"[48.0, 6.0, 64.0, 34.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0757713242573333,kJ/mol,"[28.0, 48.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-0.3831484738987443,kJ/mol,"[72.0, 80.0, 38.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0444872525765316,kJ/mol,"[3.0, 60.0]","[0.8, 0.2]"
Enthalpy of mixing,0.238804953322382,kJ/mol,"[48.0, 74.0, 5.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.1967299302288601,kJ/mol,"[12.0, 72.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.726279041343951,kJ/mol,"[45.0, 71.0, 21.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-0.4871027241511529,kJ/mol,"[36.0, 28.0, 48.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.2993819800231647,kJ/mol,"[6.0, 77.0]","[0.4, 0.6]"
Enthalpy of mixing,0.2255105134148984,kJ/mol,"[48.0, 63.0, 23.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.8004525433223804,kJ/mol,"[49.0, 21.0]","[0.6, 0.4]"
